plate	sample_fp	well	cycle	channel
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellA2_ChannelA594_30p_Seq0007.nd2	A2	7	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellA2_ChannelCY3_30p_Seq0001.nd2	A2	7	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellA2_ChannelCY5_30p_Seq0013.nd2	A2	7	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c7/20220707_104229_634/WellA2_ChannelCY7_30p_Seq0019.nd2	A2	7	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c8/20220707_154150_665/WellA2_ChannelA594_30p_Seq0007.nd2	A2	8	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c8/20220707_154150_665/WellA2_ChannelCY3_30p_Seq0001.nd2	A2	8	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c8/20220707_154150_665/WellA2_ChannelCY5_30p_Seq0013.nd2	A2	8	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c8/20220707_154150_665/WellA2_ChannelCY7_30p_Seq0019.nd2	A2	8	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c9/20220708_100518_448/WellA2_ChannelA594_30p_Seq0007.nd2	A2	9	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c9/20220708_100518_448/WellA2_ChannelCY3_30p_Seq0001.nd2	A2	9	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c9/20220708_100518_448/WellA2_ChannelCY5_30p_Seq0013.nd2	A2	9	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c9/20220708_100518_448/WellA2_ChannelCY7_30p_Seq0019.nd2	A2	9	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c1/20220701_121949_242/WellA3_ChannelDAPI-CY3_30p-A594_30p-CY5_30p-CY7_30p_Seq0002.nd2	A3	1	DAPI-CY3_30p-A594_30p-CY5_30p-CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c2/20220705_124242_274/WellA3_ChannelA594_30p_Seq0008.nd2	A3	2	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c2/20220705_124242_274/WellA3_ChannelCY3_30p_Seq0002.nd2	A3	2	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c2/20220705_124242_274/WellA3_ChannelCY5_30p_Seq0014.nd2	A3	2	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c2/20220705_124242_274/WellA3_ChannelCY7_30p_Seq0020.nd2	A3	2	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellA3_ChannelA594_30p_Seq0008.nd2	A3	3	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellA3_ChannelCY3_30p_Seq0002.nd2	A3	3	CY3_30p
